Product,Date,CPI_Value
Food and energy 9,December 2019,153.7
Fresh fruit and vegetables,December 2019,153.7
Energy 9,December 2019,158.3
Food and energy 9,January 2020,154.9
Fresh fruit and vegetables,January 2020,155.5
Energy 9,January 2020,158.6
Food and energy 9,February 2020,153.9
Fresh fruit and vegetables,February 2020,151.4
Energy 9,February 2020,156.6
Food and energy 9,March 2020,149.4
Fresh fruit and vegetables,March 2020,146.4
Energy 9,March 2020,140.6
Food and energy 9,April 2020,146.8
Fresh fruit and vegetables,April 2020,150.8
Energy 9,April 2020,128.3
Food and energy 9,May 2020,149.5
Fresh fruit and vegetables,May 2020,148.2
Energy 9,May 2020,137.0
Food and energy 9,June 2020,152.4
Fresh fruit and vegetables,June 2020,152.5
Energy 9,June 2020,146.2
Food and energy 9,July 2020,153.6
Fresh fruit and vegetables,July 2020,155.6
Energy 9,July 2020,149.7
Food and energy 9,August 2020,152.5
Fresh fruit and vegetables,August 2020,150.7
Energy 9,August 2020,149.3
Food and energy 9,September 2020,151.8
Fresh fruit and vegetables,September 2020,145.9
Energy 9,September 2020,149.8
Food and energy 9,October 2020,152.2
Fresh fruit and vegetables,October 2020,148.3
Energy 9,October 2020,149.4
Food and energy 9,November 2020,152.5
Fresh fruit and vegetables,November 2020,150.0
Energy 9,November 2020,149.1
Food and energy 9,December 2020,153.2
Fresh fruit and vegetables,December 2020,150.4
Energy 9,December 2020,152.0
Food and energy 9,January 2021,154.8
Fresh fruit and vegetables,January 2021,154.3
Energy 9,January 2021,154.3
Food and energy 9,February 2021,157.0
Fresh fruit and vegetables,February 2021,156.5
Energy 9,February 2021,160.4
Food and energy 9,March 2021,158.8
Fresh fruit and vegetables,March 2021,150.8
Energy 9,March 2021,167.4
Food and energy 9,April 2021,159.5
Fresh fruit and vegetables,April 2021,146.0
Energy 9,April 2021,170.2
Food and energy 9,May 2021,161.2
Fresh fruit and vegetables,May 2021,149.0
Energy 9,May 2021,173.2
Food and energy 9,June 2021,161.8
Fresh fruit and vegetables,June 2021,149.0
Energy 9,June 2021,174.7
Food and energy 9,July 2021,163.6
Fresh fruit and vegetables,July 2021,148.5
Energy 9,July 2021,179.2
Food and energy 9,August 2021,164.2
Fresh fruit and vegetables,August 2021,147.0
Energy 9,August 2021,180.2
Food and energy 9,September 2021,164.5
Fresh fruit and vegetables,September 2021,144.3
Energy 9,September 2021,179.9
Food and energy 9,October 2021,167.0
Fresh fruit and vegetables,October 2021,144.5
Energy 9,October 2021,187.5
Food and energy 9,November 2021,168.4
Fresh fruit and vegetables,November 2021,153.0
Energy 9,November 2021,188.4
Food and energy 9,December 2021,167.9
Fresh fruit and vegetables,December 2021,156.9
Energy 9,December 2021,184.2
Food and energy 9,January 2022,171.1
Fresh fruit and vegetables,January 2022,161.1
Energy 9,January 2022,190.0
Food and energy 9,February 2022,175.1
Fresh fruit and vegetables,February 2022,162.4
Energy 9,February 2022,199.0
Food and energy 9,March 2022,180.3
Fresh fruit and vegetables,March 2022,160.7
Energy 9,March 2022,213.9
Food and energy 9,April 2022,181.7
Fresh fruit and vegetables,April 2022,159.1
Energy 9,April 2022,215.1
Food and energy 9,May 2022,187.6
Fresh fruit and vegetables,May 2022,165.0
Energy 9,May 2022,233.4
Food and energy 9,June 2022,190.1
Fresh fruit and vegetables,June 2022,163.6
Energy 9,June 2022,242.5
Food and energy 9,July 2022,187.7
Fresh fruit and vegetables,July 2022,163.5
Energy 9,July 2022,229.4
Food and energy 9,August 2022,184.8
Fresh fruit and vegetables,August 2022,163.3
Energy 9,August 2022,214.5
Food and energy 9,September 2022,183.3
Fresh fruit and vegetables,September 2022,161.9
Energy 9,September 2022,205.1
Food and energy 9,October 2022,187.0
Fresh fruit and vegetables,October 2022,159.0
Energy 9,October 2022,217.9
Food and energy 9,November 2022,187.7
Fresh fruit and vegetables,November 2022,169.9
Energy 9,November 2022,214.6
Food and energy 9,December 2022,183.5
Fresh fruit and vegetables,December 2022,176.4
Energy 9,December 2022,197.7
Food and energy 9,January 2023,186.5
Fresh fruit and vegetables,January 2023,182.1
Energy 9,January 2023,200.3
Food and energy 9,February 2023,186.7
Fresh fruit and vegetables,February 2023,182.0
Energy 9,February 2023,197.9
Food and energy 9,March 2023,187.3
Fresh fruit and vegetables,March 2023,175.3
Energy 9,March 2023,199.2
Food and energy 9,April 2023,189.6
Fresh fruit and vegetables,April 2023,172.8
Energy 9,April 2023,206.0
Food and energy 9,May 2023,190.3
Fresh fruit and vegetables,May 2023,177.3
Energy 9,May 2023,204.4
Food and energy 9,June 2023,191.1
Fresh fruit and vegetables,June 2023,178.6
Energy 9,June 2023,207.2
Food and energy 9,July 2023,192.6
Fresh fruit and vegetables,July 2023,174.7
Energy 9,July 2023,210.7
Food and energy 9,August 2023,194.5
Fresh fruit and vegetables,August 2023,171.1
Energy 9,August 2023,218.4
Food and energy 9,September 2023,193.8
Fresh fruit and vegetables,September 2023,170.9
Energy 9,September 2023,216.2
Food and energy 9,October 2023,191.0
Fresh fruit and vegetables,October 2023,166.8
Energy 9,October 2023,206.2
Food and energy 9,November 2023,190.9
Fresh fruit and vegetables,November 2023,175.7
Energy 9,November 2023,202.3
Food and energy 9,December 2023,189.9
Fresh fruit and vegetables,December 2023,179.5
Energy 9,December 2023,197.0
Food and energy 9,January 2024,190.3
Fresh fruit and vegetables,January 2024,184.4
Energy 9,January 2024,194.9
Food and energy 9,February 2024,191.7
Fresh fruit and vegetables,February 2024,183.4
Energy 9,February 2024,200.4
Food and energy 9,March 2024,192.7
Fresh fruit and vegetables,March 2024,175.8
Energy 9,March 2024,204.7
Food and energy 9,April 2024,195.2
Fresh fruit and vegetables,April 2024,172.2
Energy 9,April 2024,215.2
Food and energy 9,May 2024,195.7
Fresh fruit and vegetables,May 2024,177.2
Energy 9,May 2024,212.8
Food and energy 9,June 2024,195.2
Fresh fruit and vegetables,June 2024,178.0
Energy 9,June 2024,208.3
Food and energy 9,July 2024,196.5
Fresh fruit and vegetables,July 2024,179.4
Energy 9,July 2024,211.6
Food and energy 9,August 2024,195.5
Fresh fruit and vegetables,August 2024,176.3
Energy 9,August 2024,208.2
Food and energy 9,September 2024,192.8
Fresh fruit and vegetables,September 2024,176.3
Energy 9,September 2024,198.3
Food and energy 9,October 2024,193.1
Fresh fruit and vegetables,October 2024,171.5
Energy 9,October 2024,198.9
Food and energy 9,November 2024,194.0
Fresh fruit and vegetables,November 2024,176.7
Energy 9,November 2024,199.5
Food and energy 9,December 2024,191.3
Fresh fruit and vegetables,December 2024,181.5
Energy 9,December 2024,199.0
Food and energy 9,January 2025,192.2
Fresh fruit and vegetables,January 2025,188.6
Energy 9,January 2025,205.3
Food and energy 9,February 2025,195.1
Fresh fruit and vegetables,February 2025,188.0
Energy 9,February 2025,206.4
Food and energy 9,March 2025,196.9
Fresh fruit and vegetables,March 2025,180.7
Energy 9,March 2025,204.0
Food and energy 9,April 2025,193.0
Fresh fruit and vegetables,April 2025,179.7
Energy 9,April 2025,187.8
Food and energy 9,May 2025,194.1
Fresh fruit and vegetables,May 2025,181.3
Energy 9,May 2025,189.4
Food and energy 9,January 2015,141.1
Fresh fruit and vegetables,January 2015,119.3
Energy 9,January 2015,142.1
Food and energy 9,February 2015,144.5
Fresh fruit and vegetables,February 2015,118.4
Energy 9,February 2015,149.0
Food and energy 9,March 2015,147.3
Fresh fruit and vegetables,March 2015,115.5
Energy 9,March 2015,154.2
Food and energy 9,April 2015,145.6
Fresh fruit and vegetables,April 2015,117.1
Energy 9,April 2015,151.7
Food and energy 9,May 2015,149.6
Fresh fruit and vegetables,May 2015,120.5
Energy 9,May 2015,158.1
Food and energy 9,June 2015,151.2
Fresh fruit and vegetables,June 2015,119.7
Energy 9,June 2015,161.6
Food and energy 9,July 2015,150.9
Fresh fruit and vegetables,July 2015,121.2
Energy 9,July 2015,163.2
Food and energy 9,August 2015,149.2
Fresh fruit and vegetables,August 2015,120.8
Energy 9,August 2015,156.8
Food and energy 9,September 2015,146.2
Fresh fruit and vegetables,September 2015,114.5
Energy 9,September 2015,151.9
Food and energy 9,October 2015,145.7
Fresh fruit and vegetables,October 2015,113.6
Energy 9,October 2015,149.2
Food and energy 9,November 2015,146.0
Fresh fruit and vegetables,November 2015,118.7
Energy 9,November 2015,148.9
Food and energy 9,December 2015,144.5
Fresh fruit and vegetables,December 2015,123.5
Energy 9,December 2015,146.1
Food and energy 9,January 2016,144.7
Fresh fruit and vegetables,January 2016,131.3
Energy 9,January 2016,141.2
Food and energy 9,February 2016,144.1
Fresh fruit and vegetables,February 2016,139.7
Energy 9,February 2016,138.2
Food and energy 9,March 2016,144.0
Fresh fruit and vegetables,March 2016,137.7
Energy 9,March 2016,138.0
Food and energy 9,April 2016,146.6
Fresh fruit and vegetables,April 2016,130.4
Energy 9,April 2016,145.8
Food and energy 9,May 2016,147.7
Fresh fruit and vegetables,May 2016,130.0
Energy 9,May 2016,149.5
Food and energy 9,June 2016,154.4
Fresh fruit and vegetables,June 2016,131.7
Energy 9,June 2016,165.3
Food and energy 9,July 2016,152.8
Fresh fruit and vegetables,July 2016,129.4
Energy 9,July 2016,159.1
Food and energy 9,August 2016,151.4
Fresh fruit and vegetables,August 2016,122.1
Energy 9,August 2016,157.7
Food and energy 9,September 2016,152.7
Fresh fruit and vegetables,September 2016,120.0
Energy 9,September 2016,162.3
Food and energy 9,October 2016,152.6
Fresh fruit and vegetables,October 2016,118.5
Energy 9,October 2016,164.6
Food and energy 9,November 2016,151.3
Fresh fruit and vegetables,November 2016,120.9
Energy 9,November 2016,162.6
Food and energy 9,December 2016,151.5
Fresh fruit and vegetables,December 2016,118.5
Energy 9,December 2016,164.7
Food and energy 9,January 2017,154.5
Fresh fruit and vegetables,January 2017,121.9
Energy 9,January 2017,170.0
Food and energy 9,February 2017,152.7
Fresh fruit and vegetables,February 2017,121.3
Energy 9,February 2017,165.9
Food and energy 9,March 2017,152.4
Fresh fruit and vegetables,March 2017,121.1
Energy 9,March 2017,163.5
Food and energy 9,April 2017,153.4
Fresh fruit and vegetables,April 2017,118.9
Energy 9,April 2017,168.5
Food and energy 9,May 2017,153.3
Fresh fruit and vegetables,May 2017,122.3
Energy 9,May 2017,165.5
Food and energy 9,June 2017,149.6
Fresh fruit and vegetables,June 2017,124.2
Energy 9,June 2017,155.7
Food and energy 9,July 2017,151.3
Fresh fruit and vegetables,July 2017,127.5
Energy 9,July 2017,159.5
Food and energy 9,August 2017,152.6
Fresh fruit and vegetables,August 2017,123.7
Energy 9,August 2017,162.5
Food and energy 9,September 2017,154.5
Fresh fruit and vegetables,September 2017,121.3
Energy 9,September 2017,169.0
Food and energy 9,October 2017,152.7
Fresh fruit and vegetables,October 2017,113.7
Energy 9,October 2017,165.5
Food and energy 9,November 2017,154.6
Fresh fruit and vegetables,November 2017,117.3
Energy 9,November 2017,170.7
Food and energy 9,December 2017,153.2
Fresh fruit and vegetables,December 2017,118.6
Energy 9,December 2017,166.4
Food and energy 9,January 2018,154.2
Fresh fruit and vegetables,January 2018,125.6
Energy 9,January 2018,168.8
Food and energy 9,February 2018,154.7
Fresh fruit and vegetables,February 2018,127.8
Energy 9,February 2018,168.5
Food and energy 9,March 2018,154.5
Fresh fruit and vegetables,March 2018,122.3
Energy 9,March 2018,168.3
Food and energy 9,April 2018,157.5
Fresh fruit and vegetables,April 2018,123.6
Energy 9,April 2018,175.1
Food and energy 9,May 2018,159.2
Fresh fruit and vegetables,May 2018,118.5
Energy 9,May 2018,180.4
Food and energy 9,June 2018,159.2
Fresh fruit and vegetables,June 2018,121.0
Energy 9,June 2018,179.1
Food and energy 9,July 2018,161.0
Fresh fruit and vegetables,July 2018,125.5
Energy 9,July 2018,184.1
Food and energy 9,August 2018,160.6
Fresh fruit and vegetables,August 2018,123.4
Energy 9,August 2018,181.9
Food and energy 9,September 2018,159.8
Fresh fruit and vegetables,September 2018,116.9
Energy 9,September 2018,182.3
Food and energy 9,October 2018,159.1
Fresh fruit and vegetables,October 2018,111.8
Energy 9,October 2018,182.9
Food and energy 9,November 2018,156.5
Fresh fruit and vegetables,November 2018,111.6
Energy 9,November 2018,174.3
Food and energy 9,December 2018,152.6
Fresh fruit and vegetables,December 2018,116.9
Energy 9,December 2018,166.0
Food and energy 9,January 2019,153.6
Fresh fruit and vegetables,January 2019,116.8
Energy 9,January 2019,163.3
Food and energy 9,February 2019,155.0
Fresh fruit and vegetables,February 2019,123.0
Energy 9,February 2019,167.5
Food and energy 9,March 2019,158.1
Fresh fruit and vegetables,March 2019,119.9
Energy 9,March 2019,174.4
Food and energy 9,April 2019,159.6
Fresh fruit and vegetables,April 2019,121.1
Energy 9,April 2019,180.7
Food and energy 9,May 2019,160.6
Fresh fruit and vegetables,May 2019,118.2
Energy 9,May 2019,181.0
Food and energy 9,June 2019,157.8
Fresh fruit and vegetables,June 2019,130.3
Energy 9,June 2019,171.9
Food and energy 9,July 2019,160.5
Fresh fruit and vegetables,July 2019,134.7
Energy 9,July 2019,177.0
Food and energy 9,August 2019,159.4
Fresh fruit and vegetables,August 2019,125.2
Energy 9,August 2019,173.5
Food and energy 9,September 2019,158.4
Fresh fruit and vegetables,September 2019,119.8
Energy 9,September 2019,172.5
Food and energy 9,October 2019,159.4
Fresh fruit and vegetables,October 2019,117.7
Energy 9,October 2019,177.8
Food and energy 9,November 2019,160.2
Fresh fruit and vegetables,November 2019,118.1
Energy 9,November 2019,178.3
Food and energy 9,December 2019,159.6
Fresh fruit and vegetables,December 2019,122.9
Energy 9,December 2019,178.2
Food and energy 9,January 2020,160.9
Fresh fruit and vegetables,January 2020,120.0
Energy 9,January 2020,179.3
Food and energy 9,February 2020,159.7
Fresh fruit and vegetables,February 2020,121.6
Energy 9,February 2020,174.5
Food and energy 9,March 2020,155.0
Fresh fruit and vegetables,March 2020,122.0
Energy 9,March 2020,160.9
Food and energy 9,April 2020,149.1
Fresh fruit and vegetables,April 2020,120.7
Energy 9,April 2020,145.2
Food and energy 9,May 2020,152.1
Fresh fruit and vegetables,May 2020,120.8
Energy 9,May 2020,149.4
Food and energy 9,June 2020,155.1
Fresh fruit and vegetables,June 2020,124.8
Energy 9,June 2020,158.6
Food and energy 9,July 2020,156.2
Fresh fruit and vegetables,July 2020,126.8
Energy 9,July 2020,163.0
Food and energy 9,August 2020,155.3
Fresh fruit and vegetables,August 2020,124.5
Energy 9,August 2020,162.5
Food and energy 9,September 2020,154.7
Fresh fruit and vegetables,September 2020,122.6
Energy 9,September 2020,161.9
Food and energy 9,October 2020,155.6
Fresh fruit and vegetables,October 2020,122.6
Energy 9,October 2020,163.7
Food and energy 9,November 2020,157.3
Fresh fruit and vegetables,November 2020,125.2
Energy 9,November 2020,165.4
Food and energy 9,December 2020,157.6
Fresh fruit and vegetables,December 2020,119.1
Energy 9,December 2020,170.6
Food and energy 9,January 2021,161.1
Fresh fruit and vegetables,January 2021,121.6
Energy 9,January 2021,176.5
Food and energy 9,February 2021,162.6
Fresh fruit and vegetables,February 2021,124.6
Energy 9,February 2021,180.6
Food and energy 9,March 2021,166.6
Fresh fruit and vegetables,March 2021,123.4
Energy 9,March 2021,189.3
Food and energy 9,April 2021,166.3
Fresh fruit and vegetables,April 2021,121.5
Energy 9,April 2021,189.3
Food and energy 9,May 2021,168.6
Fresh fruit and vegetables,May 2021,124.3
Energy 9,May 2021,191.7
Food and energy 9,June 2021,169.4
Fresh fruit and vegetables,June 2021,123.6
Energy 9,June 2021,193.4
Food and energy 9,July 2021,173.2
Fresh fruit and vegetables,July 2021,127.1
Energy 9,July 2021,201.7
Food and energy 9,August 2021,172.8
Fresh fruit and vegetables,August 2021,123.1
Energy 9,August 2021,200.9
Food and energy 9,September 2021,173.4
Fresh fruit and vegetables,September 2021,122.7
Energy 9,September 2021,202.5
Food and energy 9,October 2021,176.5
Fresh fruit and vegetables,October 2021,119.7
Energy 9,October 2021,208.2
Food and energy 9,November 2021,176.4
Fresh fruit and vegetables,November 2021,126.1
Energy 9,November 2021,207.8
Food and energy 9,December 2021,174.5
Fresh fruit and vegetables,December 2021,131.7
Energy 9,December 2021,200.9
Food and energy 9,January 2022,178.9
Fresh fruit and vegetables,January 2022,131.1
Energy 9,January 2022,208.3
Food and energy 9,February 2022,183.8
Fresh fruit and vegetables,February 2022,133.4
Energy 9,February 2022,219.7
Food and energy 9,March 2022,191.4
Fresh fruit and vegetables,March 2022,134.0
Energy 9,March 2022,238.4
Food and energy 9,April 2022,194.6
Fresh fruit and vegetables,April 2022,134.7
Energy 9,April 2022,245.8
Food and energy 9,May 2022,204.2
Fresh fruit and vegetables,May 2022,138.3
Energy 9,May 2022,270.7
Food and energy 9,June 2022,203.5
Fresh fruit and vegetables,June 2022,137.0
Energy 9,June 2022,268.7
Food and energy 9,July 2022,199.5
Fresh fruit and vegetables,July 2022,139.6
Energy 9,July 2022,250.6
Food and energy 9,August 2022,195.9
Fresh fruit and vegetables,August 2022,136.1
Energy 9,August 2022,236.2
Food and energy 9,September 2022,192.9
Fresh fruit and vegetables,September 2022,138.3
Energy 9,September 2022,224.6
Food and energy 9,October 2022,198.0
Fresh fruit and vegetables,October 2022,129.6
Energy 9,October 2022,240.4
Food and energy 9,November 2022,199.3
Fresh fruit and vegetables,November 2022,139.8
Energy 9,November 2022,239.4
Food and energy 9,December 2022,191.0
Fresh fruit and vegetables,December 2022,146.5
Energy 9,December 2022,216.7
Food and energy 9,January 2023,195.9
Fresh fruit and vegetables,January 2023,142.8
Energy 9,January 2023,222.9
Food and energy 9,February 2023,198.7
Fresh fruit and vegetables,February 2023,147.5
Energy 9,February 2023,229.2
Food and energy 9,March 2023,196.2
Fresh fruit and vegetables,March 2023,143.9
Energy 9,March 2023,220.5
Food and energy 9,April 2023,198.8
Fresh fruit and vegetables,April 2023,143.2
Energy 9,April 2023,226.2
Food and energy 9,May 2023,197.5
Fresh fruit and vegetables,May 2023,145.4
Energy 9,May 2023,216.9
Food and energy 9,June 2023,198.8
Fresh fruit and vegetables,June 2023,150.0
Energy 9,June 2023,219.3
Food and energy 9,July 2023,203.0
Fresh fruit and vegetables,July 2023,143.2
Energy 9,July 2023,231.4
Food and energy 9,August 2023,206.1
Fresh fruit and vegetables,August 2023,139.6
Energy 9,August 2023,243.8
Food and energy 9,September 2023,207.0
Fresh fruit and vegetables,September 2023,141.9
Energy 9,September 2023,246.3
Food and energy 9,October 2023,203.4
Fresh fruit and vegetables,October 2023,136.6
Energy 9,October 2023,232.9
Food and energy 9,November 2023,201.7
Fresh fruit and vegetables,November 2023,141.2
Energy 9,November 2023,227.0
Food and energy 9,December 2023,201.2
Fresh fruit and vegetables,December 2023,147.1
Energy 9,December 2023,222.7
Food and energy 9,January 2024,201.3
Fresh fruit and vegetables,January 2024,152.3
Energy 9,January 2024,218.5
Food and energy 9,February 2024,203.4
Fresh fruit and vegetables,February 2024,153.3
Energy 9,February 2024,225.3
Food and energy 9,March 2024,204.7
Fresh fruit and vegetables,March 2024,146.7
Energy 9,March 2024,229.0
Food and energy 9,April 2024,207.6
Fresh fruit and vegetables,April 2024,146.3
Energy 9,April 2024,240.7
Food and energy 9,May 2024,207.4
Fresh fruit and vegetables,May 2024,151.9
Energy 9,May 2024,237.3
Food and energy 9,June 2024,206.0
Fresh fruit and vegetables,June 2024,150.2
Energy 9,June 2024,231.2
Food and energy 9,July 2024,207.4
Fresh fruit and vegetables,July 2024,154.8
Energy 9,July 2024,234.4
Food and energy 9,August 2024,208.2
Fresh fruit and vegetables,August 2024,149.9
Energy 9,August 2024,235.2
Food and energy 9,September 2024,205.1
Fresh fruit and vegetables,September 2024,152.3
Energy 9,September 2024,225.0
Food and energy 9,October 2024,205.1
Fresh fruit and vegetables,October 2024,143.1
Energy 9,October 2024,227.2
Food and energy 9,November 2024,205.7
Fresh fruit and vegetables,November 2024,146.4
Energy 9,November 2024,228.7
Food and energy 9,December 2024,202.1
Fresh fruit and vegetables,December 2024,150.1
Energy 9,December 2024,228.0
Food and energy 9,January 2025,202.1
Fresh fruit and vegetables,January 2025,155.4
Energy 9,January 2025,233.1
Food and energy 9,February 2025,205.9
Fresh fruit and vegetables,February 2025,153.4
Energy 9,February 2025,235.3
Food and energy 9,March 2025,209.2
Fresh fruit and vegetables,March 2025,148.8
Energy 9,March 2025,232.6
Food and energy 9,April 2025,204.9
Fresh fruit and vegetables,April 2025,147.0
Energy 9,April 2025,217.0
Food and energy 9,May 2025,204.8
Fresh fruit and vegetables,May 2025,154.0
Energy 9,May 2025,216.0
Food and energy 9,January 2015,148.1
Fresh fruit and vegetables,January 2015,130.5
Energy 9,January 2015,158.0
Food and energy 9,February 2015,151.6
Fresh fruit and vegetables,February 2015,127.4
Energy 9,February 2015,164.9
Food and energy 9,March 2015,156.3
Fresh fruit and vegetables,March 2015,125.7
Energy 9,March 2015,176.9
Food and energy 9,April 2015,152.8
Fresh fruit and vegetables,April 2015,128.0
Energy 9,April 2015,169.1
Food and energy 9,May 2015,155.1
Fresh fruit and vegetables,May 2015,124.3
Energy 9,May 2015,173.0
Food and energy 9,June 2015,157.4
Fresh fruit and vegetables,June 2015,123.1
Energy 9,June 2015,177.1
Food and energy 9,July 2015,157.6
Fresh fruit and vegetables,July 2015,130.5
Energy 9,July 2015,176.3
Food and energy 9,August 2015,156.7
Fresh fruit and vegetables,August 2015,129.3
Energy 9,August 2015,170.7
Food and energy 9,September 2015,152.3
Fresh fruit and vegetables,September 2015,129.2
