Product,Date,CPI_Value
Energy 9,September 2015,159.7
Food and energy 9,October 2015,152.6
Fresh fruit and vegetables,October 2015,124.5
Energy 9,October 2015,162.0
Food and energy 9,November 2015,153.7
Fresh fruit and vegetables,November 2015,133.5
Energy 9,November 2015,160.3
Food and energy 9,December 2015,153.0
Fresh fruit and vegetables,December 2015,137.9
Energy 9,December 2015,159.1
Food and energy 9,January 2016,151.1
Fresh fruit and vegetables,January 2016,147.5
Energy 9,January 2016,151.8
Food and energy 9,February 2016,150.2
Fresh fruit and vegetables,February 2016,163.4
Energy 9,February 2016,146.7
Food and energy 9,March 2016,150.8
Fresh fruit and vegetables,March 2016,157.4
Energy 9,March 2016,148.6
Food and energy 9,April 2016,154.5
Fresh fruit and vegetables,April 2016,148.7
Energy 9,April 2016,158.8
Food and energy 9,May 2016,154.0
Fresh fruit and vegetables,May 2016,144.6
Energy 9,May 2016,158.7
Food and energy 9,June 2016,154.9
Fresh fruit and vegetables,June 2016,147.5
Energy 9,June 2016,161.5
Food and energy 9,July 2016,153.3
Fresh fruit and vegetables,July 2016,146.2
Energy 9,July 2016,157.0
Food and energy 9,August 2016,150.5
Fresh fruit and vegetables,August 2016,138.4
Energy 9,August 2016,153.2
Food and energy 9,September 2016,150.4
Fresh fruit and vegetables,September 2016,128.9
Energy 9,September 2016,158.1
Food and energy 9,October 2016,153.5
Fresh fruit and vegetables,October 2016,122.9
Energy 9,October 2016,164.7
Food and energy 9,November 2016,154.3
Fresh fruit and vegetables,November 2016,122.5
Energy 9,November 2016,167.5
Food and energy 9,December 2016,152.1
Fresh fruit and vegetables,December 2016,123.6
Energy 9,December 2016,166.4
Food and energy 9,January 2017,156.1
Fresh fruit and vegetables,January 2017,126.4
Energy 9,January 2017,173.0
Food and energy 9,February 2017,152.8
Fresh fruit and vegetables,February 2017,127.2
Energy 9,February 2017,167.3
Food and energy 9,March 2017,153.7
Fresh fruit and vegetables,March 2017,125.2
Energy 9,March 2017,167.8
Food and energy 9,April 2017,155.5
Fresh fruit and vegetables,April 2017,130.3
Energy 9,April 2017,170.4
Food and energy 9,May 2017,155.1
Fresh fruit and vegetables,May 2017,133.8
Energy 9,May 2017,167.3
Food and energy 9,June 2017,153.9
Fresh fruit and vegetables,June 2017,134.6
Energy 9,June 2017,165.4
Food and energy 9,July 2017,152.9
Fresh fruit and vegetables,July 2017,133.2
Energy 9,July 2017,160.3
Food and energy 9,August 2017,154.1
Fresh fruit and vegetables,August 2017,126.9
Energy 9,August 2017,164.8
Food and energy 9,September 2017,155.6
Fresh fruit and vegetables,September 2017,121.8
Energy 9,September 2017,172.1
Food and energy 9,October 2017,154.7
Fresh fruit and vegetables,October 2017,117.3
Energy 9,October 2017,169.3
Food and energy 9,November 2017,158.6
Fresh fruit and vegetables,November 2017,126.4
Energy 9,November 2017,177.6
Food and energy 9,December 2017,156.8
Fresh fruit and vegetables,December 2017,127.2
Energy 9,December 2017,176.6
Food and energy 9,January 2018,158.9
Fresh fruit and vegetables,January 2018,134.1
Energy 9,January 2018,180.9
Food and energy 9,February 2018,159.5
Fresh fruit and vegetables,February 2018,132.4
Energy 9,February 2018,180.3
Food and energy 9,March 2018,159.5
Fresh fruit and vegetables,March 2018,126.3
Energy 9,March 2018,182.5
Food and energy 9,April 2018,162.2
Fresh fruit and vegetables,April 2018,131.7
Energy 9,April 2018,188.4
Food and energy 9,May 2018,163.9
Fresh fruit and vegetables,May 2018,129.6
Energy 9,May 2018,195.3
Food and energy 9,June 2018,165.2
Fresh fruit and vegetables,June 2018,135.0
Energy 9,June 2018,195.5
Food and energy 9,July 2018,165.4
Fresh fruit and vegetables,July 2018,137.9
Energy 9,July 2018,192.1
Food and energy 9,August 2018,163.5
Fresh fruit and vegetables,August 2018,133.9
Energy 9,August 2018,187.9
Food and energy 9,September 2018,161.6
Fresh fruit and vegetables,September 2018,122.9
Energy 9,September 2018,187.6
Food and energy 9,October 2018,163.4
Fresh fruit and vegetables,October 2018,123.3
Energy 9,October 2018,191.3
Food and energy 9,November 2018,161.1
Fresh fruit and vegetables,November 2018,128.5
Energy 9,November 2018,183.5
Food and energy 9,December 2018,156.7
Fresh fruit and vegetables,December 2018,136.0
Energy 9,December 2018,170.3
Food and energy 9,January 2019,155.9
Fresh fruit and vegetables,January 2019,140.3
Energy 9,January 2019,164.0
Food and energy 9,February 2019,157.1
Fresh fruit and vegetables,February 2019,138.9
Energy 9,February 2019,169.1
Food and energy 9,March 2019,160.8
Fresh fruit and vegetables,March 2019,135.9
Energy 9,March 2019,177.9
Food and energy 9,April 2019,164.1
Fresh fruit and vegetables,April 2019,135.9
Energy 9,April 2019,188.0
Food and energy 9,May 2019,165.4
Fresh fruit and vegetables,May 2019,130.0
Energy 9,May 2019,192.2
Food and energy 9,June 2019,162.4
Fresh fruit and vegetables,June 2019,151.0
Energy 9,June 2019,179.3
Food and energy 9,July 2019,166.0
Fresh fruit and vegetables,July 2019,151.4
Energy 9,July 2019,184.6
Food and energy 9,August 2019,163.6
Fresh fruit and vegetables,August 2019,142.2
Energy 9,August 2019,177.7
Food and energy 9,September 2019,163.3
Fresh fruit and vegetables,September 2019,138.2
Energy 9,September 2019,178.2
Food and energy 9,October 2019,162.9
Fresh fruit and vegetables,October 2019,130.0
Energy 9,October 2019,179.6
Food and energy 9,November 2019,164.7
Fresh fruit and vegetables,November 2019,136.5
Energy 9,November 2019,180.0
Food and energy 9,December 2019,163.4
Fresh fruit and vegetables,December 2019,141.7
Energy 9,December 2019,180.1
Food and energy 9,January 2020,166.2
Fresh fruit and vegetables,January 2020,144.5
Energy 9,January 2020,181.5
Food and energy 9,February 2020,162.2
Fresh fruit and vegetables,February 2020,139.2
Energy 9,February 2020,172.3
Food and energy 9,March 2020,156.2
Fresh fruit and vegetables,March 2020,138.1
Energy 9,March 2020,153.5
Food and energy 9,April 2020,150.9
Fresh fruit and vegetables,April 2020,142.5
Energy 9,April 2020,134.4
Food and energy 9,May 2020,151.0
Fresh fruit and vegetables,May 2020,142.1
Energy 9,May 2020,134.9
Food and energy 9,June 2020,154.4
Fresh fruit and vegetables,June 2020,146.3
Energy 9,June 2020,145.6
Food and energy 9,July 2020,158.7
Fresh fruit and vegetables,July 2020,150.9
Energy 9,July 2020,153.6
Food and energy 9,August 2020,157.7
Fresh fruit and vegetables,August 2020,150.3
Energy 9,August 2020,153.4
Food and energy 9,September 2020,156.3
Fresh fruit and vegetables,September 2020,143.9
Energy 9,September 2020,152.4
Food and energy 9,October 2020,156.7
Fresh fruit and vegetables,October 2020,141.2
Energy 9,October 2020,153.4
Food and energy 9,November 2020,156.1
Fresh fruit and vegetables,November 2020,145.0
Energy 9,November 2020,150.9
Food and energy 9,December 2020,158.6
Fresh fruit and vegetables,December 2020,148.8
Energy 9,December 2020,158.1
Food and energy 9,January 2021,162.3
Fresh fruit and vegetables,January 2021,154.8
Energy 9,January 2021,165.4
Food and energy 9,February 2021,165.5
Fresh fruit and vegetables,February 2021,154.8
Energy 9,February 2021,173.0
Food and energy 9,March 2021,171.1
Fresh fruit and vegetables,March 2021,151.6
Energy 9,March 2021,184.9
Food and energy 9,April 2021,170.8
Fresh fruit and vegetables,April 2021,146.2
Energy 9,April 2021,187.0
Food and energy 9,May 2021,173.6
Fresh fruit and vegetables,May 2021,148.7
Energy 9,May 2021,190.9
Food and energy 9,June 2021,173.6
Fresh fruit and vegetables,June 2021,147.8
Energy 9,June 2021,194.0
Food and energy 9,July 2021,177.4
Fresh fruit and vegetables,July 2021,149.9
Energy 9,July 2021,200.9
Food and energy 9,August 2021,178.3
Fresh fruit and vegetables,August 2021,149.8
Energy 9,August 2021,201.9
Food and energy 9,September 2021,179.6
Fresh fruit and vegetables,September 2021,143.2
Energy 9,September 2021,203.4
Food and energy 9,October 2021,182.6
Fresh fruit and vegetables,October 2021,135.1
Energy 9,October 2021,214.8
Food and energy 9,November 2021,183.7
Fresh fruit and vegetables,November 2021,148.8
Energy 9,November 2021,216.0
Food and energy 9,December 2021,180.8
Fresh fruit and vegetables,December 2021,154.7
Energy 9,December 2021,202.8
Food and energy 9,January 2022,188.5
Fresh fruit and vegetables,January 2022,156.6
Energy 9,January 2022,221.2
Food and energy 9,February 2022,192.8
Fresh fruit and vegetables,February 2022,155.3
Energy 9,February 2022,231.3
Food and energy 9,March 2022,204.8
Fresh fruit and vegetables,March 2022,155.8
Energy 9,March 2022,262.2
Food and energy 9,April 2022,207.0
Fresh fruit and vegetables,April 2022,157.3
Energy 9,April 2022,262.8
Food and energy 9,May 2022,222.7
Fresh fruit and vegetables,May 2022,160.9
Energy 9,May 2022,311.6
Food and energy 9,June 2022,220.9
Fresh fruit and vegetables,June 2022,161.6
Energy 9,June 2022,305.9
Food and energy 9,July 2022,216.5
Fresh fruit and vegetables,July 2022,164.1
Energy 9,July 2022,285.3
Food and energy 9,August 2022,210.3
Fresh fruit and vegetables,August 2022,157.6
Energy 9,August 2022,263.2
Food and energy 9,September 2022,207.9
Fresh fruit and vegetables,September 2022,161.1
Energy 9,September 2022,253.1
Food and energy 9,October 2022,215.5
Fresh fruit and vegetables,October 2022,150.6
Energy 9,October 2022,276.4
Food and energy 9,November 2022,221.2
Fresh fruit and vegetables,November 2022,165.4
Energy 9,November 2022,288.8
Food and energy 9,December 2022,206.8
Fresh fruit and vegetables,December 2022,167.4
Energy 9,December 2022,247.7
Food and energy 9,January 2023,211.7
Fresh fruit and vegetables,January 2023,172.7
Energy 9,January 2023,255.2
Food and energy 9,February 2023,214.1
Fresh fruit and vegetables,February 2023,171.3
Energy 9,February 2023,260.1
Food and energy 9,March 2023,210.0
Fresh fruit and vegetables,March 2023,168.5
Energy 9,March 2023,244.1
Food and energy 9,April 2023,211.0
Fresh fruit and vegetables,April 2023,168.0
Energy 9,April 2023,242.9
Food and energy 9,May 2023,208.2
Fresh fruit and vegetables,May 2023,174.3
Energy 9,May 2023,229.6
Food and energy 9,June 2023,208.2
Fresh fruit and vegetables,June 2023,175.1
Energy 9,June 2023,232.2
Food and energy 9,July 2023,216.7
Fresh fruit and vegetables,July 2023,169.4
Energy 9,July 2023,252.4
Food and energy 9,August 2023,221.3
Fresh fruit and vegetables,August 2023,166.3
Energy 9,August 2023,271.8
Food and energy 9,September 2023,222.3
Fresh fruit and vegetables,September 2023,168.6
Energy 9,September 2023,273.5
Food and energy 9,October 2023,217.2
Fresh fruit and vegetables,October 2023,160.9
Energy 9,October 2023,255.8
Food and energy 9,November 2023,215.1
Fresh fruit and vegetables,November 2023,172.7
Energy 9,November 2023,247.5
Food and energy 9,December 2023,214.9
Fresh fruit and vegetables,December 2023,177.1
Energy 9,December 2023,243.9
Food and energy 9,January 2024,214.6
Fresh fruit and vegetables,January 2024,181.0
Energy 9,January 2024,241.6
Food and energy 9,February 2024,217.3
Fresh fruit and vegetables,February 2024,184.1
Energy 9,February 2024,247.3
Food and energy 9,March 2024,217.9
Fresh fruit and vegetables,March 2024,173.6
Energy 9,March 2024,249.7
Food and energy 9,April 2024,220.5
Fresh fruit and vegetables,April 2024,168.5
Energy 9,April 2024,257.0
Food and energy 9,May 2024,221.1
Fresh fruit and vegetables,May 2024,178.8
Energy 9,May 2024,256.5
Food and energy 9,June 2024,220.4
Fresh fruit and vegetables,June 2024,179.0
Energy 9,June 2024,249.7
Food and energy 9,July 2024,223.0
Fresh fruit and vegetables,July 2024,180.6
Energy 9,July 2024,256.2
Food and energy 9,August 2024,219.7
Fresh fruit and vegetables,August 2024,175.0
Energy 9,August 2024,249.4
Food and energy 9,September 2024,215.4
Fresh fruit and vegetables,September 2024,175.3
Energy 9,September 2024,234.3
Food and energy 9,October 2024,217.0
Fresh fruit and vegetables,October 2024,166.8
Energy 9,October 2024,238.1
Food and energy 9,November 2024,218.5
Fresh fruit and vegetables,November 2024,166.9
Energy 9,November 2024,242.2
Food and energy 9,December 2024,211.2
Fresh fruit and vegetables,December 2024,173.8
Energy 9,December 2024,238.7
Food and energy 9,January 2025,214.0
Fresh fruit and vegetables,January 2025,184.3
Energy 9,January 2025,254.6
Food and energy 9,February 2025,219.4
Fresh fruit and vegetables,February 2025,184.6
Energy 9,February 2025,256.8
Food and energy 9,March 2025,222.0
Fresh fruit and vegetables,March 2025,178.2
Energy 9,March 2025,245.5
Food and energy 9,April 2025,215.8
Fresh fruit and vegetables,April 2025,175.7
Energy 9,April 2025,224.9
Food and energy 9,May 2025,216.4
Fresh fruit and vegetables,May 2025,181.9
Energy 9,May 2025,223.5
Food and energy 9,January 2015,147.5
Fresh fruit and vegetables,January 2015,125.9
Energy 9,January 2015,149.4
Food and energy 9,February 2015,149.9
Fresh fruit and vegetables,February 2015,125.4
Energy 9,February 2015,155.0
Food and energy 9,March 2015,153.1
Fresh fruit and vegetables,March 2015,121.8
Energy 9,March 2015,164.0
Food and energy 9,April 2015,152.5
Fresh fruit and vegetables,April 2015,121.4
Energy 9,April 2015,161.1
Food and energy 9,May 2015,154.8
Fresh fruit and vegetables,May 2015,124.3
Energy 9,May 2015,165.1
Food and energy 9,June 2015,156.2
Fresh fruit and vegetables,June 2015,124.2
Energy 9,June 2015,167.5
Food and energy 9,July 2015,155.4
Fresh fruit and vegetables,July 2015,127.2
Energy 9,July 2015,166.2
Food and energy 9,August 2015,153.6
Fresh fruit and vegetables,August 2015,125.8
Energy 9,August 2015,159.3
Food and energy 9,September 2015,150.3
Fresh fruit and vegetables,September 2015,124.7
Energy 9,September 2015,151.8
Food and energy 9,October 2015,149.5
Fresh fruit and vegetables,October 2015,122.5
Energy 9,October 2015,150.4
Food and energy 9,November 2015,149.7
Fresh fruit and vegetables,November 2015,124.8
Energy 9,November 2015,150.1
Food and energy 9,December 2015,150.3
Fresh fruit and vegetables,December 2015,131.7
Energy 9,December 2015,148.6
Food and energy 9,January 2016,150.0
Fresh fruit and vegetables,January 2016,146.0
Energy 9,January 2016,144.1
Food and energy 9,February 2016,148.7
Fresh fruit and vegetables,February 2016,153.8
Energy 9,February 2016,138.5
Food and energy 9,March 2016,148.7
Fresh fruit and vegetables,March 2016,147.0
Energy 9,March 2016,139.3
Food and energy 9,April 2016,152.3
Fresh fruit and vegetables,April 2016,142.0
Energy 9,April 2016,148.6
Food and energy 9,May 2016,153.3
Fresh fruit and vegetables,May 2016,143.4
Energy 9,May 2016,150.4
Food and energy 9,June 2016,153.6
Fresh fruit and vegetables,June 2016,137.9
Energy 9,June 2016,152.6
Food and energy 9,July 2016,150.7
Fresh fruit and vegetables,July 2016,135.3
Energy 9,July 2016,146.6
Food and energy 9,August 2016,150.5
Fresh fruit and vegetables,August 2016,128.2
Energy 9,August 2016,146.3
Food and energy 9,September 2016,150.7
Fresh fruit and vegetables,September 2016,127.0
Energy 9,September 2016,150.2
Food and energy 9,October 2016,150.5
Fresh fruit and vegetables,October 2016,117.0
Energy 9,October 2016,152.1
Food and energy 9,November 2016,150.0
Fresh fruit and vegetables,November 2016,116.1
Energy 9,November 2016,152.0
Food and energy 9,December 2016,150.2
Fresh fruit and vegetables,December 2016,117.3
Energy 9,December 2016,154.1
Food and energy 9,January 2017,153.0
Fresh fruit and vegetables,January 2017,120.9
Energy 9,January 2017,160.0
Food and energy 9,February 2017,150.9
Fresh fruit and vegetables,February 2017,122.0
Energy 9,February 2017,155.3
Food and energy 9,March 2017,150.9
Fresh fruit and vegetables,March 2017,121.1
Energy 9,March 2017,154.7
Food and energy 9,April 2017,153.1
Fresh fruit and vegetables,April 2017,125.1
Energy 9,April 2017,159.7
Food and energy 9,May 2017,152.3
Fresh fruit and vegetables,May 2017,129.5
Energy 9,May 2017,156.6
Food and energy 9,June 2017,152.1
Fresh fruit and vegetables,June 2017,130.8
Energy 9,June 2017,154.8
Food and energy 9,July 2017,151.0
Fresh fruit and vegetables,July 2017,128.8
Energy 9,July 2017,153.5
Food and energy 9,August 2017,152.2
Fresh fruit and vegetables,August 2017,124.5
Energy 9,August 2017,155.7
Food and energy 9,September 2017,153.8
Fresh fruit and vegetables,September 2017,122.6
Energy 9,September 2017,161.3
Food and energy 9,October 2017,151.2
Fresh fruit and vegetables,October 2017,115.2
Energy 9,October 2017,155.4
Food and energy 9,November 2017,154.0
Fresh fruit and vegetables,November 2017,120.5
Energy 9,November 2017,162.3
Food and energy 9,December 2017,153.7
Fresh fruit and vegetables,December 2017,125.0
Energy 9,December 2017,160.8
Food and energy 9,January 2018,155.7
Fresh fruit and vegetables,January 2018,133.5
Energy 9,January 2018,166.1
Food and energy 9,February 2018,156.6
Fresh fruit and vegetables,February 2018,133.4
Energy 9,February 2018,166.0
Food and energy 9,March 2018,155.7
Fresh fruit and vegetables,March 2018,126.0
Energy 9,March 2018,165.9
Food and energy 9,April 2018,158.8
Fresh fruit and vegetables,April 2018,127.9
Energy 9,April 2018,172.9
Food and energy 9,May 2018,159.5
Fresh fruit and vegetables,May 2018,122.7
Energy 9,May 2018,177.5
Food and energy 9,June 2018,158.9
Fresh fruit and vegetables,June 2018,126.3
Energy 9,June 2018,175.3
Food and energy 9,July 2018,159.6
Fresh fruit and vegetables,July 2018,133.2
Energy 9,July 2018,175.8
Food and energy 9,August 2018,159.7
Fresh fruit and vegetables,August 2018,127.3
Energy 9,August 2018,174.3
Food and energy 9,September 2018,158.3
Fresh fruit and vegetables,September 2018,120.9
Energy 9,September 2018,173.9
Food and energy 9,October 2018,159.1
Fresh fruit and vegetables,October 2018,120.0
Energy 9,October 2018,174.5
Food and energy 9,November 2018,155.7
Fresh fruit and vegetables,November 2018,122.1
Energy 9,November 2018,165.1
Food and energy 9,December 2018,153.3
Fresh fruit and vegetables,December 2018,130.6
Energy 9,December 2018,158.1
Food and energy 9,January 2019,155.1
Fresh fruit and vegetables,January 2019,135.1
Energy 9,January 2019,158.2
Food and energy 9,February 2019,155.9
Fresh fruit and vegetables,February 2019,135.0
Energy 9,February 2019,161.3
Food and energy 9,March 2019,158.9
Fresh fruit and vegetables,March 2019,133.8
Energy 9,March 2019,169.7
Food and energy 9,April 2019,160.6
Fresh fruit and vegetables,April 2019,132.4
Energy 9,April 2019,177.2
Food and energy 9,May 2019,161.3
Fresh fruit and vegetables,May 2019,128.0
Energy 9,May 2019,177.4
Food and energy 9,June 2019,158.7
Fresh fruit and vegetables,June 2019,143.8
Energy 9,June 2019,167.3
Food and energy 9,July 2019,161.5
Fresh fruit and vegetables,July 2019,143.8
Energy 9,July 2019,171.9
Food and energy 9,August 2019,160.1
Fresh fruit and vegetables,August 2019,137.2
Energy 9,August 2019,167.8
Food and energy 9,September 2019,159.1
Fresh fruit and vegetables,September 2019,131.8
Energy 9,September 2019,166.2
Food and energy 9,October 2019,159.1
Fresh fruit and vegetables,October 2019,124.5
Energy 9,October 2019,167.9
Food and energy 9,November 2019,160.4
Fresh fruit and vegetables,November 2019,131.7
Energy 9,November 2019,168.4
Food and energy 9,December 2019,159.7
Fresh fruit and vegetables,December 2019,135.5
Energy 9,December 2019,168.0
Food and energy 9,January 2020,161.5
Fresh fruit and vegetables,January 2020,141.9
Energy 9,January 2020,168.9
Food and energy 9,February 2020,160.6
Fresh fruit and vegetables,February 2020,139.3
Energy 9,February 2020,165.0
Food and energy 9,March 2020,153.8
Fresh fruit and vegetables,March 2020,135.3
Energy 9,March 2020,147.3
Food and energy 9,April 2020,149.7
Fresh fruit and vegetables,April 2020,139.7
Energy 9,April 2020,131.6
Food and energy 9,May 2020,150.5
Fresh fruit and vegetables,May 2020,134.9
Energy 9,May 2020,133.8
Food and energy 9,June 2020,153.1
Fresh fruit and vegetables,June 2020,140.2
Energy 9,June 2020,141.6
Food and energy 9,July 2020,155.2
Fresh fruit and vegetables,July 2020,142.7
Energy 9,July 2020,147.5
Food and energy 9,August 2020,155.1
Fresh fruit and vegetables,August 2020,142.0
Energy 9,August 2020,148.0
Food and energy 9,September 2020,153.7
Fresh fruit and vegetables,September 2020,134.9
Energy 9,September 2020,147.5
Food and energy 9,October 2020,153.8
Fresh fruit and vegetables,October 2020,136.5
Energy 9,October 2020,147.4
Food and energy 9,November 2020,154.0
Fresh fruit and vegetables,November 2020,139.2
Energy 9,November 2020,146.0
Food and energy 9,December 2020,155.9
Fresh fruit and vegetables,December 2020,140.1
Energy 9,December 2020,151.7
Food and energy 9,January 2021,160.1
Fresh fruit and vegetables,January 2021,142.0
Energy 9,January 2021,161.2
Food and energy 9,February 2021,162.1
Fresh fruit and vegetables,February 2021,143.3
Energy 9,February 2021,167.3
Food and energy 9,March 2021,166.0
Fresh fruit and vegetables,March 2021,142.6
Energy 9,March 2021,176.7
Food and energy 9,April 2021,165.3
Fresh fruit and vegetables,April 2021,134.6
Energy 9,April 2021,176.4
Food and energy 9,May 2021,167.3
Fresh fruit and vegetables,May 2021,140.0
Energy 9,May 2021,178.1
Food and energy 9,June 2021,168.1
Fresh fruit and vegetables,June 2021,139.6
Energy 9,June 2021,179.4
Food and energy 9,July 2021,170.0
Fresh fruit and vegetables,July 2021,140.6
Energy 9,July 2021,184.1
Food and energy 9,August 2021,170.7
Fresh fruit and vegetables,August 2021,140.0
Energy 9,August 2021,183.7
Food and energy 9,September 2021,171.1
Fresh fruit and vegetables,September 2021,136.4
Energy 9,September 2021,184.3
Food and energy 9,October 2021,174.1
Fresh fruit and vegetables,October 2021,133.6
Energy 9,October 2021,191.8
Food and energy 9,November 2021,174.8
Fresh fruit and vegetables,November 2021,140.9
Energy 9,November 2021,192.8
Food and energy 9,December 2021,173.1
Fresh fruit and vegetables,December 2021,146.1
Energy 9,December 2021,185.3
Food and energy 9,January 2022,178.5
Fresh fruit and vegetables,January 2022,149.0
Energy 9,January 2022,195.7
Food and energy 9,February 2022,183.7
Fresh fruit and vegetables,February 2022,148.0
Energy 9,February 2022,207.6
Food and energy 9,March 2022,193.2
Fresh fruit and vegetables,March 2022,146.8
Energy 9,March 2022,231.4
Food and energy 9,April 2022,194.7
Fresh fruit and vegetables,April 2022,146.4
Energy 9,April 2022,231.5
Food and energy 9,May 2022,205.5
Fresh fruit and vegetables,May 2022,151.9
Energy 9,May 2022,261.4
Food and energy 9,June 2022,205.8
Fresh fruit and vegetables,June 2022,153.8
Energy 9,June 2022,261.6
Food and energy 9,July 2022,201.8
Fresh fruit and vegetables,July 2022,155.6
Energy 9,July 2022,245.1
Food and energy 9,August 2022,196.9
Fresh fruit and vegetables,August 2022,151.5
Energy 9,August 2022,229.8
Food and energy 9,September 2022,194.6
Fresh fruit and vegetables,September 2022,153.0
Energy 9,September 2022,218.6
Food and energy 9,October 2022,200.6
Fresh fruit and vegetables,October 2022,145.3
Energy 9,October 2022,237.3
Food and energy 9,November 2022,206.8
Fresh fruit and vegetables,November 2022,155.4
Energy 9,November 2022,248.9
Food and energy 9,December 2022,195.0
Fresh fruit and vegetables,December 2022,161.2
Energy 9,December 2022,216.7
Food and energy 9,January 2023,197.8
Fresh fruit and vegetables,January 2023,164.9
Energy 9,January 2023,218.5
Food and energy 9,February 2023,200.2
Fresh fruit and vegetables,February 2023,165.2
Energy 9,February 2023,223.5
Food and energy 9,March 2023,197.9
Fresh fruit and vegetables,March 2023,161.0
Energy 9,March 2023,213.2
Food and energy 9,April 2023,200.9
Fresh fruit and vegetables,April 2023,161.0
Energy 9,April 2023,220.8
Food and energy 9,May 2023,198.0
Fresh fruit and vegetables,May 2023,165.4
Energy 9,May 2023,208.0
Food and energy 9,June 2023,198.2
Fresh fruit and vegetables,June 2023,167.2
Energy 9,June 2023,209.3
Food and energy 9,July 2023,206.5
Fresh fruit and vegetables,July 2023,163.7
Energy 9,July 2023,230.9
Food and energy 9,August 2023,209.7
Fresh fruit and vegetables,August 2023,156.9
Energy 9,August 2023,243.0
Food and energy 9,September 2023,210.9
Fresh fruit and vegetables,September 2023,160.9
Energy 9,September 2023,245.5
Food and energy 9,October 2023,206.7
Fresh fruit and vegetables,October 2023,155.8
Energy 9,October 2023,233.8
Food and energy 9,November 2023,205.7
Fresh fruit and vegetables,November 2023,164.5
Energy 9,November 2023,227.8
Food and energy 9,December 2023,204.7
Fresh fruit and vegetables,December 2023,170.4
Energy 9,December 2023,221.2
Food and energy 9,January 2024,206.3
Fresh fruit and vegetables,January 2024,175.0
Energy 9,January 2024,224.2
Food and energy 9,February 2024,207.9
Fresh fruit and vegetables,February 2024,176.5
Energy 9,February 2024,229.7
Food and energy 9,March 2024,208.1
Fresh fruit and vegetables,March 2024,164.1
Energy 9,March 2024,232.2
Food and energy 9,April 2024,211.2
Fresh fruit and vegetables,April 2024,161.7
Energy 9,April 2024,239.6
Food and energy 9,May 2024,212.1
Fresh fruit and vegetables,May 2024,168.5
Energy 9,May 2024,239.2
Food and energy 9,June 2024,210.7
Fresh fruit and vegetables,June 2024,168.9
Energy 9,June 2024,232.3
Food and energy 9,July 2024,212.0
Fresh fruit and vegetables,July 2024,170.4
Energy 9,July 2024,235.6
Food and energy 9,August 2024,209.6
Fresh fruit and vegetables,August 2024,166.0
Energy 9,August 2024,229.9
Food and energy 9,September 2024,205.3
Fresh fruit and vegetables,September 2024,164.2
Energy 9,September 2024,218.1
Food and energy 9,October 2024,206.1
Fresh fruit and vegetables,October 2024,160.3
Energy 9,October 2024,217.9
Food and energy 9,November 2024,207.1
Fresh fruit and vegetables,November 2024,160.5
Energy 9,November 2024,220.9
Food and energy 9,December 2024,202.8
Fresh fruit and vegetables,December 2024,168.9
Energy 9,December 2024,219.6
Food and energy 9,January 2025,204.6
Fresh fruit and vegetables,January 2025,178.8
Energy 9,January 2025,230.8
Food and energy 9,February 2025,209.7
Fresh fruit and vegetables,February 2025,176.7
Energy 9,February 2025,233.2
Food and energy 9,March 2025,211.0
Fresh fruit and vegetables,March 2025,168.9
Energy 9,March 2025,227.7
Food and energy 9,April 2025,206.2
Fresh fruit and vegetables,April 2025,167.0
Energy 9,April 2025,211.8
Food and energy 9,May 2025,206.0
Fresh fruit and vegetables,May 2025,173.9
Energy 9,May 2025,210.7
Food and energy 9,January 2015,141.6
Fresh fruit and vegetables,January 2015,132.4
Energy 9,January 2015,136.7
Food and energy 9,February 2015,144.6
Fresh fruit and vegetables,February 2015,136.4
Energy 9,February 2015,140.8
Food and energy 9,March 2015,147.1
Fresh fruit and vegetables,March 2015,130.3
Energy 9,March 2015,147.7
Food and energy 9,April 2015,146.5
Fresh fruit and vegetables,April 2015,129.6
Energy 9,April 2015,146.5
Food and energy 9,May 2015,149.3
Fresh fruit and vegetables,May 2015,128.4
Energy 9,May 2015,151.4
Food and energy 9,June 2015,150.9
Fresh fruit and vegetables,June 2015,130.1
Energy 9,June 2015,154.5
Food and energy 9,July 2015,150.6
Fresh fruit and vegetables,July 2015,134.0
Energy 9,July 2015,154.1
Food and energy 9,August 2015,149.7
Fresh fruit and vegetables,August 2015,130.1
Energy 9,August 2015,148.8
Food and energy 9,September 2015,146.8
Fresh fruit and vegetables,September 2015,129.3
Energy 9,September 2015,143.4
Food and energy 9,October 2015,145.9
Fresh fruit and vegetables,October 2015,129.9
Energy 9,October 2015,141.3
Food and energy 9,November 2015,147.1
Fresh fruit and vegetables,November 2015,134.5
Energy 9,November 2015,142.1
Food and energy 9,December 2015,146.6
Fresh fruit and vegetables,December 2015,138.7
Energy 9,December 2015,141.5
Food and energy 9,January 2016,146.8
Fresh fruit and vegetables,January 2016,153.9
Energy 9,January 2016,137.4
Food and energy 9,February 2016,145.7
Fresh fruit and vegetables,February 2016,161.8
Energy 9,February 2016,133.3
Food and energy 9,March 2016,144.7
Fresh fruit and vegetables,March 2016,154.1
Energy 9,March 2016,132.7
Food and energy 9,April 2016,147.5
Fresh fruit and vegetables,April 2016,146.6
Energy 9,April 2016,138.9
Food and energy 9,May 2016,148.1
Fresh fruit and vegetables,May 2016,144.9
Energy 9,May 2016,142.3
Food and energy 9,June 2016,149.1
Fresh fruit and vegetables,June 2016,141.2
